INCP Education Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Braidwood,0,0,0,5,5,7,7,12,10,12,9,19,3,4,93,1560.483871,1560,"$1,500-$1,749 ($78,000-$90,999)"
Karabar,0,0,0,0,3,5,8,12,18,14,23,22,3,0,108,1685.648148,1685,"$1,500-$1,749 ($78,000-$90,999)"
Queanbeyan,0,0,5,3,4,11,16,17,24,34,31,53,4,0,202,1609.034653,1609,"$1,500-$1,749 ($78,000-$90,999)"
Queanbeyan - East,3,0,0,5,0,4,4,10,10,17,21,21,0,0,95,1615.526316,1615,"$1,500-$1,749 ($78,000-$90,999)"
Queanbeyan West - Jerrabomberra,9,5,8,0,10,7,13,19,30,36,35,105,5,9,291,1650.773196,1650,"$1,500-$1,749 ($78,000-$90,999)"
Googong,0,0,0,0,5,0,4,5,7,18,30,33,0,3,105,1889.047619,1889,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan Surrounds,4,8,3,12,8,10,20,24,41,38,51,119,8,14,360,1692.083333,1692,"$1,500-$1,749 ($78,000-$90,999)"
Bombala,0,0,0,3,0,5,5,4,11,9,13,10,0,3,63,1674.206349,1674,"$1,500-$1,749 ($78,000-$90,999)"
Cooma,0,0,3,0,7,5,4,0,12,23,21,28,0,3,106,1713.915094,1713,"$1,500-$1,749 ($78,000-$90,999)"
Cooma Surrounds,0,0,0,3,0,0,4,3,4,0,16,14,0,0,44,1819.886364,1819,"$1,750-$1,999 ($91,000-$103,999)"
Jindabyne - Berridale,0,0,0,3,15,10,17,19,32,23,44,65,5,6,239,1692.050209,1692,"$1,500-$1,749 ($78,000-$90,999)"
Batemans Bay,0,0,0,0,4,5,7,6,13,16,12,20,5,0,88,1665.909091,1665,"$1,500-$1,749 ($78,000-$90,999)"
Batemans Bay - South,0,0,0,3,3,3,5,9,31,16,40,39,5,0,154,1804.383117,1804,"$1,750-$1,999 ($91,000-$103,999)"
Bega - Tathra,0,5,0,5,10,11,19,25,23,21,28,45,0,4,196,1512.5,1512,"$1,500-$1,749 ($78,000-$90,999)"
Bega-Eden Hinterland,0,0,3,9,9,11,19,15,19,25,33,34,0,0,177,1498.446328,1498,"$1,250-$1,499 ($65,000-$77,999)"
Broulee - Tomakin,0,0,5,5,7,5,10,7,8,24,26,25,0,0,122,1560.655738,1560,"$1,500-$1,749 ($78,000-$90,999)"
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,0,0,0,0,0,0,4,4,4,4,3,14,0,0,33,1631.818182,1631,"$1,500-$1,749 ($78,000-$90,999)"
Eurobodalla Hinterland,0,0,0,0,0,4,3,5,12,3,14,11,0,0,52,1696.634615,1696,"$1,500-$1,749 ($78,000-$90,999)"
Merimbula - Tura Beach,0,3,5,5,4,11,13,31,24,36,45,62,3,0,242,1617.871901,1617,"$1,500-$1,749 ($78,000-$90,999)"
Moruya - Tuross Head,0,0,0,3,10,9,6,10,16,20,24,34,4,0,136,1628.860294,1628,"$1,500-$1,749 ($78,000-$90,999)"
Narooma - Bermagui,0,3,0,4,3,7,5,24,23,14,30,30,0,5,148,1647.972973,1647,"$1,500-$1,749 ($78,000-$90,999)"
Goulburn,0,8,3,11,9,15,26,45,69,69,79,111,3,0,448,1607.700893,1607,"$1,500-$1,749 ($78,000-$90,999)"
Goulburn Surrounds,7,0,5,7,3,8,13,18,20,34,46,54,0,0,215,1599.534884,1599,"$1,500-$1,749 ($78,000-$90,999)"
Yass,0,0,0,0,3,9,13,15,24,21,27,41,0,0,153,1623.039216,1623,"$1,500-$1,749 ($78,000-$90,999)"
Yass Surrounds,7,0,6,0,10,10,17,18,25,36,42,90,6,3,270,1658.518519,1658,"$1,500-$1,749 ($78,000-$90,999)"
Young,0,3,0,0,10,10,13,13,34,42,36,48,0,3,212,1629.716981,1629,"$1,500-$1,749 ($78,000-$90,999)"
Young Surrounds,0,3,3,6,3,3,11,13,14,25,17,29,0,5,132,1568.939394,1568,"$1,500-$1,749 ($78,000-$90,999)"
Avoca Beach - Copacabana,6,5,0,4,7,10,17,17,36,30,53,96,0,4,285,1662.54386,1662,"$1,500-$1,749 ($78,000-$90,999)"
Box Head - MacMasters Beach,0,8,12,0,5,18,13,24,25,33,46,85,9,7,285,1672.807018,1672,"$1,500-$1,749 ($78,000-$90,999)"
Calga - Kulnura,3,4,0,5,4,0,9,7,5,12,8,8,4,0,69,1391.666667,1391,"$1,250-$1,499 ($65,000-$77,999)"
Erina - Green Point,0,13,6,10,7,10,19,30,46,31,50,82,5,6,315,1591.349206,1591,"$1,500-$1,749 ($78,000-$90,999)"
Gosford - Springfield,5,12,13,8,16,25,32,45,45,59,74,110,4,3,451,1530.986696,1530,"$1,500-$1,749 ($78,000-$90,999)"
Kariong,0,0,4,0,6,5,9,14,9,17,13,20,3,0,100,1520.75,1520,"$1,500-$1,749 ($78,000-$90,999)"
Kincumber - Picketts Valley,0,0,0,4,4,12,10,15,16,23,28,36,0,0,148,1591.554054,1591,"$1,500-$1,749 ($78,000-$90,999)"
Narara,3,0,0,6,14,12,15,4,21,15,27,28,0,0,145,1454.655172,1454,"$1,250-$1,499 ($65,000-$77,999)"
Niagara Park - Lisarow,3,5,3,6,3,11,11,8,29,27,37,39,0,4,186,1597.177419,1597,"$1,500-$1,749 ($78,000-$90,999)"
Point Clare - Koolewong,3,0,0,0,7,10,12,16,21,15,14,36,3,0,137,1502.189781,1502,"$1,500-$1,749 ($78,000-$90,999)"
Saratoga - Davistown,3,0,7,4,0,9,10,22,24,14,37,44,5,0,179,1629.888268,1629,"$1,500-$1,749 ($78,000-$90,999)"
Terrigal - North Avoca,8,7,8,15,20,28,32,43,56,61,70,142,5,3,498,1535.793173,1535,"$1,500-$1,749 ($78,000-$90,999)"
Umina - Booker Bay - Patonga,0,7,7,12,19,17,31,37,53,52,54,86,9,11,395,1578.670886,1578,"$1,500-$1,749 ($78,000-$90,999)"
Wamberal - Forresters Beach,6,0,0,11,4,15,28,19,29,41,64,88,3,8,316,1691.139241,1691,"$1,500-$1,749 ($78,000-$90,999)"
Woy Woy - Blackwall,3,3,7,4,8,21,16,20,30,24,32,39,4,0,211,1460.900474,1460,"$1,250-$1,499 ($65,000-$77,999)"
Wyoming,3,6,7,4,8,14,12,23,27,15,35,32,0,6,192,1496.09375,1496,"$1,250-$1,499 ($65,000-$77,999)"
Bateau Bay - Killarney Vale,8,13,12,8,14,20,36,61,65,94,124,130,11,0,596,1621.686242,1621,"$1,500-$1,749 ($78,000-$90,999)"
Blue Haven - San Remo,0,0,0,0,3,5,14,12,14,9,19,21,4,0,101,1635.643564,1635,"$1,500-$1,749 ($78,000-$90,999)"
Budgewoi - Buff Point - Halekulani,3,0,5,5,12,14,4,16,25,23,26,48,0,0,181,1489.640884,1489,"$1,250-$1,499 ($65,000-$77,999)"
Chittaway Bay - Tumbi Umbi,4,0,4,7,13,18,19,39,50,44,62,89,3,0,352,1585.866477,1585,"$1,500-$1,749 ($78,000-$90,999)"
Gorokan - Kanwal - Charmhaven,5,0,5,8,14,15,17,32,41,35,44,57,0,0,273,1487.454212,1487,"$1,250-$1,499 ($65,000-$77,999)"
Jilliby - Yarramalong,0,3,0,0,5,9,8,10,7,17,9,20,5,0,93,1527.150538,1527,"$1,500-$1,749 ($78,000-$90,999)"
Lake Munmorah - Mannering Park,0,0,0,0,6,4,3,15,22,18,25,28,0,0,121,1656.404959,1656,"$1,500-$1,749 ($78,000-$90,999)"
Ourimbah - Fountaindale,5,7,4,5,0,12,12,10,13,25,19,32,0,0,144,1405.208333,1405,"$1,250-$1,499 ($65,000-$77,999)"
Summerland Point - Gwandalan,0,0,3,0,5,7,8,4,3,15,14,17,0,0,76,1527.302632,1527,"$1,500-$1,749 ($78,000-$90,999)"
The Entrance,5,3,3,11,5,10,26,34,29,43,69,82,9,4,333,1675.900901,1675,"$1,500-$1,749 ($78,000-$90,999)"
Toukley - Norah Head,0,0,0,0,4,11,9,17,34,22,32,49,0,0,178,1639.747191,1639,"$1,500-$1,749 ($78,000-$90,999)"
Tuggerah - Kangy Angy,0,0,0,0,0,10,7,14,8,15,18,26,0,0,98,1616.581633,1616,"$1,500-$1,749 ($78,000-$90,999)"
Warnervale - Wadalba,4,3,3,4,11,23,22,34,37,34,57,85,3,8,328,1617.759146,1617,"$1,500-$1,749 ($78,000-$90,999)"
Wyong,0,0,0,5,4,3,8,8,15,10,14,28,0,0,95,1550.526316,1550,"$1,500-$1,749 ($78,000-$90,999)"
Bathurst - East,3,0,0,0,6,12,23,26,28,42,53,107,4,0,304,1694.736842,1694,"$1,500-$1,749 ($78,000-$90,999)"
Bathurst Surrounds,5,5,0,9,3,7,15,11,27,15,17,55,5,6,180,1570,1570,"$1,500-$1,749 ($78,000-$90,999)"
Oberon,0,0,0,0,5,4,0,3,11,6,13,11,0,0,53,1644.339623,1644,"$1,500-$1,749 ($78,000-$90,999)"
Bathurst - South,0,3,4,0,9,14,17,28,41,30,46,77,5,3,277,1644.223827,1644,"$1,500-$1,749 ($78,000-$90,999)"
Bathurst - West,4,0,12,13,12,22,34,40,46,65,84,139,3,8,482,1630.809129,1630,"$1,500-$1,749 ($78,000-$90,999)"
Condobolin,0,3,0,3,3,3,6,16,25,17,24,51,3,0,154,1666.883117,1666,"$1,500-$1,749 ($78,000-$90,999)"
Cowra,4,0,0,3,5,13,16,20,27,22,25,43,0,0,178,1499.157303,1499,"$1,250-$1,499 ($65,000-$77,999)"
Cowra Surrounds,0,3,0,3,6,5,5,18,14,11,19,23,0,0,107,1510.280374,1510,"$1,500-$1,749 ($78,000-$90,999)"
Forbes,7,0,5,3,4,7,6,19,41,23,40,62,7,0,224,1654.129464,1654,"$1,500-$1,749 ($78,000-$90,999)"
Grenfell,5,0,0,0,0,4,9,6,11,5,13,23,0,0,76,1539.473684,1539,"$1,500-$1,749 ($78,000-$90,999)"
Parkes (NSW),5,0,4,5,5,3,13,14,35,29,44,66,3,0,226,1660.50885,1660,"$1,500-$1,749 ($78,000-$90,999)"
Parkes Surrounds,0,0,3,0,0,0,0,0,12,12,13,16,0,0,56,1777.678571,1777,"$1,750-$1,999 ($91,000-$103,999)"
West Wyalong,0,0,3,0,4,5,5,17,11,21,15,31,0,0,112,1566.741071,1566,"$1,500-$1,749 ($78,000-$90,999)"
Lithgow,0,0,0,3,7,14,10,10,25,24,24,32,0,0,149,1537.919463,1537,"$1,500-$1,749 ($78,000-$90,999)"
Lithgow Surrounds,0,3,3,6,3,4,9,18,13,16,20,24,0,4,123,1546.95122,1546,"$1,500-$1,749 ($78,000-$90,999)"
Mudgee,0,6,4,6,9,12,22,25,44,41,53,62,3,4,291,1604.381443,1604,"$1,500-$1,749 ($78,000-$90,999)"
Mudgee Surrounds - East,0,0,0,0,0,0,5,3,8,7,16,15,0,0,54,1821.759259,1821,"$1,750-$1,999 ($91,000-$103,999)"
Mudgee Surrounds - West,0,0,5,3,16,15,16,21,21,14,44,45,6,0,206,1585.92233,1585,"$1,500-$1,749 ($78,000-$90,999)"
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blayney,0,0,0,0,5,8,12,8,15,21,12,48,3,0,132,1613.44697,1613,"$1,500-$1,749 ($78,000-$90,999)"
Orange,3,7,3,8,17,18,25,40,51,52,62,107,6,5,404,1594.121287,1594,"$1,500-$1,749 ($78,000-$90,999)"
Orange - North,13,9,14,14,18,26,32,48,67,74,111,169,6,5,606,1600.577558,1600,"$1,500-$1,749 ($78,000-$90,999)"
Orange Surrounds,0,4,4,6,9,11,18,29,22,34,37,84,7,6,271,1646.586716,1646,"$1,500-$1,749 ($78,000-$90,999)"
Grafton,0,3,9,11,6,22,19,22,26,48,54,78,7,0,305,1599.262295,1599,"$1,500-$1,749 ($78,000-$90,999)"
Grafton Surrounds,0,8,6,3,5,17,19,30,19,24,41,73,0,0,245,1533.877551,1533,"$1,500-$1,749 ($78,000-$90,999)"
Maclean - Yamba - Iluka,0,5,8,10,22,14,20,33,25,45,60,63,6,0,311,1548.151125,1548,"$1,500-$1,749 ($78,000-$90,999)"
Bellingen,0,5,0,5,7,9,18,27,17,29,33,38,3,4,195,1582.051282,1582,"$1,500-$1,749 ($78,000-$90,999)"
Coffs Harbour - North,3,8,3,6,10,12,23,33,30,46,65,74,0,0,313,1582.428115,1582,"$1,500-$1,749 ($78,000-$90,999)"
Coffs Harbour - South,0,5,0,6,9,9,18,14,21,22,28,48,3,5,188,1592.287234,1592,"$1,500-$1,749 ($78,000-$90,999)"
Coramba - Nana Glen - Bucca,0,0,0,6,4,5,9,5,5,11,10,15,0,0,70,1431.785714,1431,"$1,250-$1,499 ($65,000-$77,999)"
Dorrigo,0,4,0,0,0,3,3,0,3,5,8,9,0,0,35,1568.571429,1568,"$1,500-$1,749 ($78,000-$90,999)"
Korora - Emerald Beach,5,4,9,4,12,15,13,33,36,42,62,89,7,4,335,1639.402985,1639,"$1,500-$1,749 ($78,000-$90,999)"
Sawtell - Boambee,0,7,4,14,14,21,29,47,59,80,60,124,7,4,470,1578.510638,1578,"$1,500-$1,749 ($78,000-$90,999)"
Urunga,0,0,5,6,0,7,10,18,7,16,30,44,0,5,148,1685.135135,1685,"$1,500-$1,749 ($78,000-$90,999)"
Woolgoolga - Arrawarra,3,6,9,3,8,22,23,24,31,47,71,74,8,0,329,1627.887538,1627,"$1,500-$1,749 ($78,000-$90,999)"
Bourke - Brewarrina,0,0,0,0,5,4,0,3,14,4,15,30,7,3,85,1904.705882,1904,"$1,750-$1,999 ($91,000-$103,999)"
Cobar,0,0,0,0,0,0,4,0,12,20,9,24,0,0,69,1740.57971,1740,"$1,500-$1,749 ($78,000-$90,999)"
Coonamble,0,0,0,0,0,10,3,12,5,17,18,34,0,0,99,1683.838384,1683,"$1,500-$1,749 ($78,000-$90,999)"
Nyngan - Warren,0,0,0,0,0,4,0,10,20,20,20,25,0,0,99,1727.525253,1727,"$1,500-$1,749 ($78,000-$90,999)"
Walgett - Lightning Ridge,0,3,0,0,0,5,8,3,14,16,30,27,9,3,118,1911.016949,1911,"$1,750-$1,999 ($91,000-$103,999)"
Broken Hill,0,0,4,5,10,11,11,17,33,50,65,96,7,9,318,1791.745283,1791,"$1,750-$1,999 ($91,000-$103,999)"
Far West,0,0,0,0,0,0,0,9,7,4,4,5,0,5,34,1856.617647,1856,"$1,750-$1,999 ($91,000-$103,999)"
Coonabarabran,4,3,0,0,3,4,6,19,24,26,37,36,0,4,166,1696.536145,1696,"$1,500-$1,749 ($78,000-$90,999)"
Dubbo - East,0,4,3,0,9,13,8,21,35,26,31,72,4,0,226,1607.300885,1607,"$1,500-$1,749 ($78,000-$90,999)"
Dubbo - South,0,10,9,10,8,18,18,51,64,81,85,152,7,0,513,1639.376218,1639,"$1,500-$1,749 ($78,000-$90,999)"
Dubbo - West,0,0,0,0,4,0,15,18,28,34,37,61,3,3,203,1758.251232,1758,"$1,750-$1,999 ($91,000-$103,999)"
Dubbo Surrounds,0,0,4,0,5,11,5,12,10,17,26,42,0,0,132,1631.628788,1631,"$1,500-$1,749 ($78,000-$90,999)"
Gilgandra,0,0,0,0,4,9,4,7,15,8,15,28,0,0,90,1599.166667,1599,"$1,500-$1,749 ($78,000-$90,999)"
Narromine,0,0,0,3,5,4,10,15,19,18,23,20,3,0,120,1609.375,1609,"$1,500-$1,749 ($78,000-$90,999)"
Wellington,0,0,0,0,5,7,10,13,19,13,28,38,0,5,138,1721.557971,1721,"$1,500-$1,749 ($78,000-$90,999)"
Branxton - Greta - Pokolbin,0,0,7,7,13,10,18,16,39,27,33,57,0,0,227,1503.964758,1503,"$1,500-$1,749 ($78,000-$90,999)"
Cessnock,0,0,7,3,9,5,17,22,39,35,47,53,0,0,237,1603.481013,1603,"$1,500-$1,749 ($78,000-$90,999)"
Cessnock Surrounds,0,4,5,0,5,10,7,15,20,20,17,31,6,0,140,1543.392857,1543,"$1,500-$1,749 ($78,000-$90,999)"
Dungog,0,0,0,8,5,9,11,19,22,22,23,39,4,0,162,1567.283951,1567,"$1,500-$1,749 ($78,000-$90,999)"
Kurri Kurri - Abermain,0,3,0,3,5,16,25,30,31,22,37,46,0,0,218,1513.188073,1513,"$1,500-$1,749 ($78,000-$90,999)"
Singleton,3,6,3,7,7,16,18,21,30,40,38,43,0,0,232,1478.87931,1478,"$1,250-$1,499 ($65,000-$77,999)"
Singleton Surrounds,0,4,0,0,0,6,3,6,5,4,11,17,0,0,56,1561.607143,1561,"$1,500-$1,749 ($78,000-$90,999)"
Maitland,3,3,0,10,0,7,4,9,17,26,31,46,0,0,156,1625.480769,1625,"$1,500-$1,749 ($78,000-$90,999)"
Maitland - North,4,0,4,5,13,20,14,24,34,39,54,73,9,5,298,1658.64094,1658,"$1,500-$1,749 ($78,000-$90,999)"
East Maitland - Metford,5,7,7,5,11,7,26,37,41,47,70,102,3,0,368,1608.220109,1608,"$1,500-$1,749 ($78,000-$90,999)"
Rutherford (North) - Aberglasslyn,6,3,5,9,7,13,20,30,26,35,37,57,0,5,253,1508.399209,1508,"$1,500-$1,749 ($78,000-$90,999)"
Rutherford (South) - Telarah,0,0,3,0,0,0,6,7,15,19,12,15,0,0,77,1609.74026,1609,"$1,500-$1,749 ($78,000-$90,999)"
Tenambit - East Maitland,3,3,4,0,9,14,16,21,28,41,34,59,3,0,235,1558.085106,1558,"$1,500-$1,749 ($78,000-$90,999)"
Thornton - Millers Forest,0,0,4,9,16,12,20,30,42,44,63,80,6,0,326,1629.907975,1629,"$1,500-$1,749 ($78,000-$90,999)"
Anna Bay,0,0,3,0,0,9,12,15,9,11,16,25,0,0,100,1523.75,1523,"$1,500-$1,749 ($78,000-$90,999)"
Lemon Tree Passage - Tanilba Bay,3,0,0,3,0,5,5,7,3,5,9,16,0,0,56,1470.089286,1470,"$1,250-$1,499 ($65,000-$77,999)"
Nelson Bay Peninsula,4,3,0,6,23,22,34,21,37,48,59,87,12,3,359,1604.665738,1604,"$1,500-$1,749 ($78,000-$90,999)"
Raymond Terrace,4,3,3,6,7,11,6,24,18,22,25,31,0,0,160,1439.0625,1439,"$1,250-$1,499 ($65,000-$77,999)"
Seaham - Woodville,4,0,0,0,5,9,4,10,8,22,17,38,6,4,127,1720.866142,1720,"$1,500-$1,749 ($78,000-$90,999)"
Tea Gardens - Hawks Nest,0,0,0,5,0,4,7,4,6,5,7,13,0,0,51,1454.901961,1454,"$1,250-$1,499 ($65,000-$77,999)"
Williamtown - Medowie - Karuah,0,5,0,3,12,14,14,16,29,37,27,51,0,0,208,1506.009615,1506,"$1,500-$1,749 ($78,000-$90,999)"
Muswellbrook,0,0,0,4,3,8,10,24,12,24,27,50,0,0,162,1617.746914,1617,"$1,500-$1,749 ($78,000-$90,999)"
Muswellbrook Surrounds,0,0,0,0,3,3,3,6,10,5,10,18,0,3,61,1712.704918,1712,"$1,500-$1,749 ($78,000-$90,999)"
Scone,3,0,0,0,5,6,6,14,16,15,31,43,0,0,139,1676.978417,1676,"$1,500-$1,749 ($78,000-$90,999)"
Scone Surrounds,0,0,4,5,9,0,17,9,23,6,20,37,0,0,130,1500,1500,"$1,500-$1,749 ($78,000-$90,999)"
Dapto - Avondale,9,8,5,3,10,24,23,40,42,46,59,79,4,0,352,1521.448864,1521,"$1,500-$1,749 ($78,000-$90,999)"
Horsley - Kembla Grange,0,7,9,3,7,19,29,23,39,35,37,70,0,3,281,1496.797153,1496,"$1,250-$1,499 ($65,000-$77,999)"
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,4,3,7,10,17,20,24,51,32,49,70,130,6,0,423,1591.134752,1591,"$1,500-$1,749 ($78,000-$90,999)"
Berkeley - Lake Heights - Cringila,3,0,3,7,4,11,13,17,19,31,30,40,5,0,183,1575.273224,1575,"$1,500-$1,749 ($78,000-$90,999)"
Port Kembla - Warrawong,0,0,0,4,4,7,9,14,21,12,13,25,3,0,112,1522.544643,1522,"$1,500-$1,749 ($78,000-$90,999)"
Windang - Primbee,0,0,0,0,0,3,4,6,11,15,13,18,0,3,73,1764.041096,1764,"$1,750-$1,999 ($91,000-$103,999)"
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,8,5,12,4,18,17,31,41,46,59,71,113,3,0,428,1548.306075,1548,"$1,500-$1,749 ($78,000-$90,999)"
Albion Park Rail,0,0,3,0,0,0,7,6,15,6,16,19,3,0,75,1731.333333,1731,"$1,500-$1,749 ($78,000-$90,999)"
Kiama,0,7,5,8,5,14,15,35,35,30,38,69,10,0,271,1574.077491,1574,"$1,500-$1,749 ($78,000-$90,999)"
Kiama Downs - Minnamurra,0,0,0,3,8,11,15,17,28,23,47,69,3,3,227,1716.079295,1716,"$1,500-$1,749 ($78,000-$90,999)"
Kiama Hinterland - Gerringong,0,5,7,3,9,12,30,27,28,30,47,69,3,0,270,1555.740741,1555,"$1,500-$1,749 ($78,000-$90,999)"
Shellharbour - Flinders,0,6,11,7,8,33,33,67,60,66,73,106,9,0,479,1549.478079,1549,"$1,500-$1,749 ($78,000-$90,999)"
