INCP ICT Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Floor,Return Val
Kiama Hinterland - Gerringong,0,0,0,0,0,3,0,0,0,8,4,7,5,7,34,2325,2325,"$2,000-$2,999 ($104,000-$155,999)"
Shellharbour - Flinders,0,0,0,0,0,3,9,4,11,18,14,39,14,11,123,2042.886179,2042,"$2,000-$2,999 ($104,000-$155,999)"
Shellharbour - Oak Flats,0,0,0,0,0,0,0,7,5,4,3,17,5,0,41,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Warilla,0,0,0,0,0,0,5,4,4,4,14,21,0,3,55,1925,1925,"$1,750-$1,999 ($91,000-$103,999)"
Balgownie - Fairy Meadow,0,0,0,6,0,0,7,11,12,22,29,58,10,26,181,2090.469613,2090,"$2,000-$2,999 ($104,000-$155,999)"
Corrimal - Tarrawanna - Bellambi,0,0,0,4,0,0,6,9,17,9,14,30,4,12,105,1919.761905,1919,"$1,750-$1,999 ($91,000-$103,999)"
Figtree - Keiraville,0,4,3,8,4,8,12,19,13,33,30,70,13,24,241,1866.493776,1866,"$1,750-$1,999 ($91,000-$103,999)"
Helensburgh,0,0,0,0,0,0,0,3,0,3,5,29,9,22,71,2554.577465,2554,"$2,000-$2,999 ($104,000-$155,999)"
Thirroul - Austinmer - Coalcliff,0,0,0,0,0,4,0,4,3,9,8,26,3,20,77,2268.181818,2268,"$2,000-$2,999 ($104,000-$155,999)"
Woonona - Bulli - Russell Vale,0,0,3,0,0,0,0,4,4,18,8,56,19,19,131,2240.839695,2240,"$2,000-$2,999 ($104,000-$155,999)"
Wollongong - East,0,0,0,0,5,3,0,17,26,22,22,54,12,15,176,1951.278409,1951,"$1,750-$1,999 ($91,000-$103,999)"
Wollongong - West,0,3,0,6,4,4,9,17,26,39,26,58,21,12,225,1861.888889,1861,"$1,750-$1,999 ($91,000-$103,999)"
Bulahdelah - Stroud,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Forster,0,0,0,0,0,3,0,5,0,4,0,3,0,0,15,1328.333333,1328,"$1,250-$1,499 ($65,000-$77,999)"
Forster-Tuncurry Surrounds,0,0,0,0,0,0,0,0,0,0,4,5,0,3,12,2489.583333,2489,"$2,000-$2,999 ($104,000-$155,999)"
Tuncurry,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3250,3250,"$3,000-$3,499 ($156,000-$181,999)"
Kempsey,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,575,575,"$500-$649 ($26,000-$33,799)"
Kempsey Surrounds,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1125,1125,"$1,000-$1,249 ($52,000-$64,999)"
Macksville - Scotts Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nambucca Heads,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Nambucca Heads Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South West Rocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lord Howe Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurieton - Bonny Hills,0,0,4,0,0,0,3,6,8,4,3,11,0,6,45,1721.666667,1721,"$1,500-$1,749 ($78,000-$90,999)"
Port Macquarie - West,0,0,0,0,0,5,3,4,3,8,9,13,0,11,56,2023.660714,2023,"$2,000-$2,999 ($104,000-$155,999)"
Port Macquarie Surrounds,0,0,0,0,0,0,0,0,0,0,5,8,4,0,17,2382.352941,2382,"$2,000-$2,999 ($104,000-$155,999)"
Wauchope,0,0,0,0,0,0,0,0,0,4,0,3,0,0,7,1732.142857,1732,"$1,500-$1,749 ($78,000-$90,999)"
Port Macquarie - East,0,0,4,0,0,6,0,5,3,3,11,8,4,0,44,1724.431818,1724,"$1,500-$1,749 ($78,000-$90,999)"
Port Macquarie - South,0,0,0,0,0,0,3,8,5,4,11,22,7,4,64,2040.234375,2040,"$2,000-$2,999 ($104,000-$155,999)"
Gloucester,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3500,3500,"$3,500 or more ($182,000 or more)"
Old Bar - Manning Point - Red Head,0,0,0,0,0,0,0,0,3,3,0,9,0,7,22,2289.772727,2289,"$2,000-$2,999 ($104,000-$155,999)"
Taree,0,0,0,0,0,0,0,0,4,7,0,8,0,0,19,1677.631579,1677,"$1,500-$1,749 ($78,000-$90,999)"
Taree Surrounds,0,0,0,0,0,0,0,0,0,7,0,12,0,3,22,2017.045455,2017,"$2,000-$2,999 ($104,000-$155,999)"
Wingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albury - East,0,0,0,0,0,3,5,8,10,14,13,15,0,0,68,1658.823529,1658,"$1,500-$1,749 ($78,000-$90,999)"
Albury - North,0,0,0,0,0,4,0,0,3,3,8,10,0,0,28,1808.928571,1808,"$1,750-$1,999 ($91,000-$103,999)"
Albury - South,0,0,0,0,0,0,4,6,0,3,0,9,0,0,22,1459.090909,1459,"$1,250-$1,499 ($65,000-$77,999)"
Albury Surrounds,0,0,0,0,0,0,0,3,3,3,5,6,0,0,20,1806.25,1806,"$1,750-$1,999 ($91,000-$103,999)"
Lavington,0,0,0,5,0,0,0,4,10,9,0,3,0,0,31,1314.516129,1314,"$1,250-$1,499 ($65,000-$77,999)"
Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth - Buronga,0,5,0,0,0,0,0,0,0,0,0,4,0,0,9,958.3333333,958,"$800-$999 ($41,600-$51,999)"
Wentworth-Balranald Region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corowa,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Corowa Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deniliquin,0,0,0,0,0,0,0,0,3,3,0,6,0,0,12,1687.5,1687,"$1,500-$1,749 ($78,000-$90,999)"
Deniliquin Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tocumwal - Finley - Jerilderie,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1375,1375,"$1,250-$1,499 ($65,000-$77,999)"
Armidale,0,4,3,0,4,3,0,9,11,20,22,31,3,3,113,1748.230088,1748,"$1,500-$1,749 ($78,000-$90,999)"
Armidale Surrounds - North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armidale Surrounds - South,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Walcha,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Glen Innes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverell,0,0,0,0,0,0,3,0,3,6,0,0,0,0,12,1381.25,1381,"$1,250-$1,499 ($65,000-$77,999)"
Inverell Surrounds - East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverell Surrounds - West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenterfield,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,900,900,"$800-$999 ($41,600-$51,999)"
Moree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moree Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narrabri,0,0,0,0,0,0,0,0,5,0,3,3,0,0,11,1818.181818,1818,"$1,750-$1,999 ($91,000-$103,999)"
Narrabri Surrounds,0,0,0,0,0,0,4,0,3,0,0,0,0,0,7,1103.571429,1103,"$1,000-$1,249 ($52,000-$64,999)"
Gunnedah,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,2187.5,2187,"$2,000-$2,999 ($104,000-$155,999)"
Gunnedah Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quirindi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamworth - East,0,0,0,0,0,0,0,3,3,3,6,4,0,0,19,1835.526316,1835,"$1,750-$1,999 ($91,000-$103,999)"
Tamworth - North,0,0,0,3,0,0,0,0,6,3,8,9,0,0,29,1770.689655,1770,"$1,750-$1,999 ($91,000-$103,999)"
Tamworth - West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamworth Surrounds,0,0,0,0,0,0,0,3,3,6,3,9,0,0,24,1734.375,1734,"$1,500-$1,749 ($78,000-$90,999)"
Belmont - Bennetts Green,0,0,0,0,0,0,0,5,6,9,6,26,9,4,65,2084.615385,2084,"$2,000-$2,999 ($104,000-$155,999)"
Belmont South - Blacksmiths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlestown - Dudley,0,3,0,0,0,0,4,9,15,16,24,45,11,0,127,1898.818898,1898,"$1,750-$1,999 ($91,000-$103,999)"
Glendale - Cardiff - Hillsborough,5,0,0,3,4,0,3,9,11,20,19,53,15,4,146,1877.39726,1877,"$1,750-$1,999 ($91,000-$103,999)"
Mount Hutton - Windale,0,0,0,0,0,4,0,0,0,5,0,14,3,0,26,1808.653846,1808,"$1,750-$1,999 ($91,000-$103,999)"
Redhead,0,0,0,0,0,0,0,0,0,0,0,9,0,4,13,2375,2375,"$2,000-$2,999 ($104,000-$155,999)"
Swansea - Caves Beach,0,0,0,0,0,0,0,3,6,4,6,17,6,7,49,2224.489796,2224,"$2,000-$2,999 ($104,000-$155,999)"
Valentine - Eleebana,0,0,0,0,0,0,0,4,6,8,12,24,3,0,57,1938.596491,1938,"$1,750-$1,999 ($91,000-$103,999)"
Warners Bay - Boolaroo,0,0,0,0,4,0,0,3,8,9,4,30,5,7,70,1975.714286,1975,"$1,750-$1,999 ($91,000-$103,999)"
Bolton Point - Teralba,0,0,0,4,0,0,0,0,6,3,3,10,3,5,34,2012.5,2012,"$2,000-$2,999 ($104,000-$155,999)"
Bonnells Bay - Silverwater,0,0,0,0,0,0,0,3,0,0,5,17,8,3,36,2340.277778,2340,"$2,000-$2,999 ($104,000-$155,999)"
Edgeworth - Cameron Park,0,0,0,0,0,0,0,8,15,17,10,40,4,0,94,1811.170213,1811,"$1,750-$1,999 ($91,000-$103,999)"
Morisset - Cooranbong,0,0,0,0,0,3,6,4,12,10,15,22,4,7,83,1940.662651,1940,"$1,750-$1,999 ($91,000-$103,999)"
Toronto - Awaba,0,0,0,5,0,3,6,0,4,6,9,12,0,4,49,1715.816327,1715,"$1,500-$1,749 ($78,000-$90,999)"
Wangi Wangi - Rathmines,0,0,0,0,0,0,3,3,3,5,4,11,3,5,37,2059.459459,2059,"$2,000-$2,999 ($104,000-$155,999)"
West Wallsend - Barnsley - Killingworth,0,0,0,0,0,0,0,0,4,3,11,9,0,0,27,2027.777778,2027,"$2,000-$2,999 ($104,000-$155,999)"
Adamstown - Kotara,0,0,0,0,0,5,3,3,10,7,17,56,16,8,125,2098.6,2098,"$2,000-$2,999 ($104,000-$155,999)"
Beresfield - Hexham,0,0,0,0,0,0,0,0,3,0,4,7,0,0,14,1946.428571,1946,"$1,750-$1,999 ($91,000-$103,999)"
Hamilton - Broadmeadow,0,0,0,6,0,0,0,8,5,11,9,25,5,3,72,1841.319444,1841,"$1,750-$1,999 ($91,000-$103,999)"
Lambton - New Lambton,3,0,0,0,0,0,6,6,10,9,15,37,10,16,112,2108.258929,2108,"$2,000-$2,999 ($104,000-$155,999)"
Maryland - Fletcher - Minmi,0,0,0,0,0,4,3,5,13,18,28,42,5,3,121,1932.644628,1932,"$1,750-$1,999 ($91,000-$103,999)"
Mayfield - Warabrook,0,0,0,0,4,3,7,11,13,19,21,45,3,4,130,1788.653846,1788,"$1,750-$1,999 ($91,000-$103,999)"
Merewether - The Junction,0,0,0,0,0,0,3,8,14,8,13,32,11,5,94,2018.085106,2018,"$2,000-$2,999 ($104,000-$155,999)"
Newcastle - Cooks Hill,0,3,0,0,0,4,3,4,9,21,13,38,7,6,108,1896.064815,1896,"$1,750-$1,999 ($91,000-$103,999)"
Newcastle Port - Kooragang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shortland - Jesmond,0,0,0,0,8,0,9,9,15,10,10,20,0,0,81,1508.641975,1508,"$1,500-$1,749 ($78,000-$90,999)"
Stockton - Fullerton Cove,0,0,0,0,0,0,0,8,0,10,4,14,3,0,39,1826.923077,1826,"$1,750-$1,999 ($91,000-$103,999)"
Wallsend - Elermore Vale,0,0,4,3,4,0,5,7,12,23,22,46,6,9,141,1869.148936,1869,"$1,750-$1,999 ($91,000-$103,999)"
Waratah - North Lambton,0,0,0,6,3,0,9,10,13,17,13,32,4,3,110,1684.318182,1684,"$1,500-$1,749 ($78,000-$90,999)"
Wickham - Carrington - Tighes Hill,0,0,0,0,0,0,0,4,4,13,4,29,6,0,60,1916.666667,1916,"$1,750-$1,999 ($91,000-$103,999)"
Ballina,0,0,0,0,3,4,0,0,0,3,3,11,4,0,28,1808.035714,1808,"$1,750-$1,999 ($91,000-$103,999)"
Ballina Surrounds,0,0,0,5,0,0,4,10,5,5,11,13,3,3,59,1766.525424,1766,"$1,750-$1,999 ($91,000-$103,999)"
Bangalow,0,0,0,0,0,0,0,0,0,0,8,5,0,3,16,2492.1875,2492,"$2,000-$2,999 ($104,000-$155,999)"
Brunswick Heads - Ocean Shores,0,0,0,0,0,0,6,0,10,11,5,13,6,0,51,1831.372549,1831,"$1,750-$1,999 ($91,000-$103,999)"
Byron Bay,0,0,0,0,0,5,0,3,6,8,7,8,3,14,54,2212.962963,2212,"$2,000-$2,999 ($104,000-$155,999)"
Evans Head,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2500,2500,"$2,000-$2,999 ($104,000-$155,999)"
Lennox Head - Skennars Head,0,0,0,0,0,0,8,0,4,4,0,6,3,5,30,1923.333333,1923,"$1,750-$1,999 ($91,000-$103,999)"
Mullumbimby,0,0,5,0,0,0,5,0,6,7,3,3,0,8,37,1810.810811,1810,"$1,750-$1,999 ($91,000-$103,999)"
Casino,0,0,0,0,0,0,0,5,0,0,3,0,0,0,8,1640.625,1640,"$1,500-$1,749 ($78,000-$90,999)"
Casino Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goonellabah,0,0,0,0,0,0,3,4,9,12,4,7,0,0,39,1594.871795,1594,"$1,500-$1,749 ($78,000-$90,999)"
Kyogle,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Lismore,0,0,0,0,0,6,4,9,3,10,8,15,0,0,55,1574.090909,1574,"$1,500-$1,749 ($78,000-$90,999)"
Lismore Surrounds,0,0,4,0,0,0,0,0,3,5,4,16,6,10,48,2253.125,2253,"$2,000-$2,999 ($104,000-$155,999)"
Kingscliff - Fingal Head,0,0,0,0,3,0,4,4,8,8,7,13,0,15,62,2067.741935,2067,"$2,000-$2,999 ($104,000-$155,999)"
Murwillumbah,0,0,0,0,0,0,0,5,0,3,0,3,0,0,11,1465.909091,1465,"$1,250-$1,499 ($65,000-$77,999)"
Murwillumbah Surrounds,0,0,0,0,0,0,0,3,3,4,3,6,0,0,19,1723.684211,1723,"$1,500-$1,749 ($78,000-$90,999)"
Pottsville,0,0,0,0,0,0,4,3,6,5,4,13,0,0,35,1649.285714,1649,"$1,500-$1,749 ($78,000-$90,999)"
Tweed Heads,0,0,0,0,3,3,3,3,9,5,5,8,4,4,47,1807.978723,1807,"$1,750-$1,999 ($91,000-$103,999)"
Banora Point,0,0,0,0,3,0,5,3,9,4,5,5,0,5,39,1739.74359,1739,"$1,500-$1,749 ($78,000-$90,999)"
Terranora - North Tumbulgum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tweed Heads South,0,0,0,0,0,0,3,0,4,6,0,3,7,0,23,2014.130435,2014,"$2,000-$2,999 ($104,000-$155,999)"
Griffith (NSW),0,0,0,0,3,0,6,4,7,4,4,9,0,0,37,1476.351351,1476,"$1,250-$1,499 ($65,000-$77,999)"
Griffith Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeton,0,3,0,0,0,0,0,0,4,3,0,3,0,0,13,1282.692308,1282,"$1,250-$1,499 ($65,000-$77,999)"
Narrandera,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Tumbarumba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumut,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Tumut Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cootamundra,0,0,0,0,0,0,0,3,0,3,0,4,0,0,10,1575,1575,"$1,500-$1,749 ($78,000-$90,999)"
Gundagai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wagga Wagga - East,0,0,0,0,0,3,6,5,4,13,6,8,0,0,45,1551.666667,1551,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - North,0,0,0,0,0,0,0,0,0,4,4,7,5,0,20,2293.75,2293,"$2,000-$2,999 ($104,000-$155,999)"
Wagga Wagga - South,0,0,0,0,0,0,3,5,12,11,6,19,0,0,56,1666.517857,1666,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - West,0,0,0,0,0,5,0,12,4,0,9,3,5,0,38,1763.157895,1763,"$1,750-$1,999 ($91,000-$103,999)"
Wagga Wagga Surrounds,0,0,0,0,0,0,3,4,0,4,4,5,0,0,20,1653.75,1653,"$1,500-$1,749 ($78,000-$90,999)"
Berry - Kangaroo Valley,0,0,0,0,0,0,0,4,3,0,0,9,0,3,19,1894.736842,1894,"$1,750-$1,999 ($91,000-$103,999)"
Callala Bay - Currarong,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Culburra Beach,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3250,3250,"$3,000-$3,499 ($156,000-$181,999)"
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huskisson - Vincentia,0,0,0,0,0,0,0,0,0,3,0,8,4,0,15,2191.666667,2191,"$2,000-$2,999 ($104,000-$155,999)"
North Nowra - Bomaderry,0,0,0,0,0,0,4,6,9,3,4,15,0,9,50,1944.5,1944,"$1,750-$1,999 ($91,000-$103,999)"
Nowra,0,0,0,0,0,0,0,5,7,3,10,12,0,0,37,1827.702703,1827,"$1,750-$1,999 ($91,000-$103,999)"
St Georges Basin - Erowal Bay,0,3,0,0,0,0,0,0,0,3,0,3,0,0,9,1241.666667,1241,"$1,000-$1,249 ($52,000-$64,999)"
Sussex Inlet - Berrara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomerong - Wandandian - Woollamia,0,0,0,0,0,0,0,6,0,0,3,0,3,0,12,2000,2000,"$2,000-$2,999 ($104,000-$155,999)"
Ulladulla,0,0,0,0,6,0,4,3,0,0,0,7,0,11,31,2001.612903,2001,"$2,000-$2,999 ($104,000-$155,999)"
Ulladulla Surrounds,0,0,0,0,0,0,3,0,4,0,0,4,0,0,11,1427.272727,1427,"$1,250-$1,499 ($65,000-$77,999)"
Bowral,0,0,0,0,0,0,0,3,8,5,5,8,5,26,60,2620.833333,2620,"$2,000-$2,999 ($104,000-$155,999)"
Hill Top - Colo Vale,0,0,0,0,0,0,0,0,5,0,5,4,0,0,14,1919.642857,1919,"$1,750-$1,999 ($91,000-$103,999)"
Mittagong,0,0,0,0,0,0,3,3,3,6,5,13,3,9,45,2179.444444,2179,"$2,000-$2,999 ($104,000-$155,999)"
Moss Vale - Berrima,0,0,0,0,0,0,0,3,4,3,7,8,3,10,38,2394.736842,2394,"$2,000-$2,999 ($104,000-$155,999)"
Robertson - Fitzroy Falls,0,0,0,0,0,0,0,5,0,0,3,4,0,5,17,2242.647059,2242,"$2,000-$2,999 ($104,000-$155,999)"
Southern Highlands,0,0,0,0,4,0,0,4,3,6,0,9,4,5,35,1944.285714,1944,"$1,750-$1,999 ($91,000-$103,999)"
